Grade item,Calculated weight,Grade,Range,Percentage,Feedback,Contribution to course total,Category
Homework 1 - Due 6/29,-,-,0–100,-, ,-,MA 413 (001) Summer II 2020 Short-Term Actuarial Models
Course total,-,-,0–100,-, ,-,MA 413 (001) Summer II 2020 Short-Term Actuarial Models
